"Affected adult population"
"All target audiences"
"Camp population"
"Children"
"Community leaders"
"Educational authorities"
"HIV+ people"
"Husbands"
"Lactating women"
"Lactating women/husbands/other primary caregivers of breastfed babies"
"Mothers/fathers/other primary caregivers"
"Pastoralists"
"Pregnant women"
"Primary caregivers"
"Sexually active males"
"Teachers"
"Women"
